k,feature,cv_r2_at_k,gain
1,STAT_e,0.3208336181809874,0.3208336181809874
2,log_taux,0.6370670350374759,0.3162334168564885
3,log_n,0.7077671499604623,0.07070011492298645
4,log_p,0.7610346964079655,0.0532675464475032
5,CT_e_conn,0.8019416698868929,0.040906973478927355
6,DISS_wf10_D,0.8057578190157318,0.003816149128838986
7,CT_f_A_tort1,0.8075913363095601,0.0018335172938283018
8,CT_f_conn_A_Ca,0.8084479024411924,0.0008565661316322082
9,STAT_n_D,0.8092933631071348,0.0008454606659424879
10,CT_f_D_tort1,0.8097451633689883,0.00045180026185343003
11,STAT_CC_A,0.8101709257845959,0.0004257624156076556
12,CT_e_D_An,0.8106581599021817,0.0004872341175857775
13,CT_e_A_Ca,0.8118973581185497,0.001239198216367976
14,CT_f_conn_D_An,0.8122486081711244,0.0003512500525747475
15,DISS_f10_D,0.8125043049190228,0.0002556967478983818
16,ABS_wf_D,0.8127531315288337,0.00024882660981084825
17,STAT_CC_D,0.8127778617521451,2.4730223311397737e-05
18,CT_n_A_adj_Ca,0.81280341034063,2.5548588484913815e-05
19,CT_n_D_adj_An,0.8128333346141812,2.99242735511962e-05
20,STAT_CC_A_Ca,0.8128517096366952,1.837502251400558e-05
21,STAT_CC_D_An,0.8128582344867746,6.524850079459021e-06
22,CT_f_e_conn,0.8128602902029403,2.055716165627608e-06
23,ABS_f_D,0.8128587472629951,-1.5429399451427628e-06
24,STAT_n_A,0.8128587305256298,-1.673736527152414e-08
